,,accuracy,f1,precision,recall
0,forum,0.8380952380952381,0.7631927114280055,0.7968505836152895,0.7379991765018503
0,synthetic,0.7825164029332304,0.7024652481976874,0.6975709284721203,0.7119659333906014
0,mixed_predicted,0.9587963754487947,0.942709466752771,0.9510567538212396,0.9347885767110267
0,mixed_as_q,0.7910886241227354,0.7114495364194062,0.71125446518918,0.7142811549135258
1,forum,0.8328042328042328,0.7624607115490273,0.7847131779861748,0.7446308890159158
1,synthetic,0.7807796217676573,0.7021327857339484,0.695193064116086,0.7146618266646766
1,mixed_predicted,0.9560608651051462,0.9403461867141328,0.9437311944703115,0.9370392440046196
1,mixed_as_q,0.7888036559490779,0.7109018748022883,0.7079080399721386,0.716919845639866
2,forum,0.837037037037037,0.757467521618465,0.8039151692947072,0.7256012456547216
2,synthetic,0.7780779621767657,0.696050008025224,0.6928557957860377,0.703295562529754
2,mixed_predicted,0.9591383142417508,0.9438872377822145,0.9547517233856601,0.9337018786665904
2,mixed_as_q,0.7871715358250367,0.7053441809404694,0.7075813354217003,0.7055888287431707
3,forum,0.8391534391534392,0.7555119157728045,0.7949044006759256,0.7279486209967493
3,synthetic,0.7796217676572752,0.6993091584084784,0.6935136807260441,0.7105519929571776
3,mixed_predicted,0.9574286202769704,0.9409475789229416,0.9471789505893238,0.9349756621727753
3,mixed_as_q,0.7888036559490779,0.7081914105141256,0.7072952136191516,0.7126532920322687
4,forum,0.8412698412698413,0.762979209720878,0.7876750507405331,0.7437969042247117
4,synthetic,0.780972597452721,0.7006700130400246,0.6957194108469406,0.7103671666341431
4,mixed_predicted,0.9615318857924432,0.9465399502081411,0.9532720858839462,0.9401067243013882
4,mixed_as_q,0.7902725640607149,0.7106969167350624,0.7095966096764331,0.714312740674154
5,forum,0.8296296296296296,0.7514800294325426,0.7863943963353289,0.7259523502839013
5,synthetic,0.777884986491702,0.698504807522918,0.692381689669643,0.710564231323806
5,mixed_predicted,0.9560608651051462,0.9405840544041218,0.9448564657103167,0.9364897186051321
5,mixed_as_q,0.7858658397258038,0.7066257353823912,0.7051546394279066,0.7118397447145718
6,forum,0.8380952380952381,0.7597622681357662,0.7899403739544496,0.7367589827482875
6,synthetic,0.7807796217676573,0.7000059903202899,0.694207861621828,0.7100631072638861
6,mixed_predicted,0.9593092836382288,0.9434218148543797,0.9502933939232339,0.9368435424317498
6,mixed_as_q,0.7896197160110984,0.7093644700691547,0.7078522574824336,0.7134568229269984
7,forum,0.8391534391534392,0.7697972744523335,0.7995575554479664,0.7468713204007322
7,synthetic,0.7829023543033578,0.7033664659466018,0.6976459933404199,0.7149097060635196
7,mixed_predicted,0.9565737732945803,0.9417099829764162,0.9469873523061865,0.9366390570933255
7,mixed_as_q,0.7915782601599478,0.7134256402276543,0.7118895381077719,0.7187322837650205
8,forum,0.8359788359788359,0.7585621241267032,0.7942241461353783,0.7335967162170371
8,synthetic,0.7782709378618294,0.6982536193738741,0.6924119644518427,0.7088441668044393
8,mixed_predicted,0.9569157120875363,0.9406800428215146,0.9460163709469626,0.9355277958651582
8,mixed_as_q,0.7871715358250367,0.7078344720472304,0.7063544211313243,0.7126954704002615
9,forum,0.837037037037037,0.7669094355402669,0.7904605544941418,0.7478549376945098
9,synthetic,0.7830953299884215,0.7046499931992738,0.6981723273064059,0.7164979457685291
9,mixed_predicted,0.9565737732945803,0.9406521709598527,0.9449536084476452,0.9364625471285056
9,mixed_as_q,0.7914150481475437,0.7138890355531743,0.7113456822662875,0.7195987941195406
