,,accuracy,f1,precision,recall
0,forum,0.6973544973544974,0.3951962283384301,0.4709986320109439,0.40973009956967177
0,synthetic,0.6694326514859128,0.312463633663326,0.3254433514758756,0.34761734487115303
0,mixed_predicted,0.7309580076349754,0.3511863526676276,0.5088198526247126,0.3725371313623857
0,mixed_as_q,0.6737391872041782,0.3303688272552439,0.35950031864988286,0.36042234633651665
1,forum,0.7174603174603175,0.42751322751322746,0.4850657108721625,0.4359008984677433
1,synthetic,0.6700115785411038,0.3197014949022274,0.33275334978248394,0.35214188657655726
1,mixed_predicted,0.7375022723141247,0.3710093814096873,0.5086253086253086,0.38512881489896356
1,mixed_as_q,0.6773298514770687,0.34351864402657767,0.3714898486501533,0.3695186195219733
2,forum,0.7111111111111111,0.4223629764301866,0.4724139655862345,0.4318001764525829
2,synthetic,0.6696256271709765,0.3182056345276303,0.3321134845233537,0.35110570772445904
2,mixed_predicted,0.7358662061443374,0.36857774441590446,0.5043411230120091,0.38340964143413786
2,mixed_as_q,0.6760241553778358,0.3416236108985753,0.369505612225497,0.3680155631915019
3,forum,0.71005291005291,0.4181966788270239,0.4786646065386005,0.42792452150740923
3,synthetic,0.6729062138170591,0.3256681816507523,0.3436010369977803,0.3563771881729401
3,mixed_predicted,0.7369569169241956,0.36937478219057823,0.5160443232129465,0.3839207582243244
3,mixed_as_q,0.6786355475763016,0.34597371794188975,0.376901329890398,0.3712374527340386
4,forum,0.7068783068783069,0.41008210314547483,0.48166237568781867,0.4212940456255964
4,synthetic,0.6721343110768043,0.32122344960695576,0.3384339172646442,0.35345618091809894
4,mixed_predicted,0.7347754953644792,0.3612822244543432,0.5170591614421283,0.3788504069558814
4,mixed_as_q,0.6774930634894728,0.34048944567382233,0.37246691564139733,0.367440844306546
5,forum,0.7068783068783069,0.4185783298826777,0.4730187176423735,0.4279560308972074
5,synthetic,0.6700115785411038,0.31971386944995106,0.3330373340015034,0.35214188657655726
5,mixed_predicted,0.7335029994546446,0.3641683852527226,0.4994777683907506,0.38039722516297525
5,mixed_as_q,0.6756977313530276,0.3417708356719418,0.368967044649185,0.368071352872072
6,forum,0.7111111111111111,0.4249592578180683,0.4677871148459383,0.434298420929437
6,synthetic,0.6721343110768043,0.3247914161718326,0.3407852660557181,0.35571924638648517
6,mixed_predicted,0.7362297764042901,0.37067799654104966,0.5014817360120283,0.3847706365469657
6,mixed_as_q,0.6781459115390893,0.3474572194529603,0.3748256271271868,0.3722921332220663
7,forum,0.71005291005291,0.40948397616071114,0.5050154320987654,0.4204297880768469
7,synthetic,0.6690467001157854,0.3165266950987096,0.3290509850912536,0.3499757642216342
7,mixed_predicted,0.7329576440647155,0.35711673551016937,0.5200835188466373,0.37609354907981213
7,mixed_as_q,0.6753713073282194,0.3360487115247197,0.36648103366916196,0.36424315868395124
8,forum,0.7153439153439154,0.42061497523837676,0.5054580896686159,0.42898233673634745
8,synthetic,0.6721343110768043,0.3243457803757663,0.3403911967566999,0.3554363632029369
8,mixed_predicted,0.7365933466642428,0.36727383120825746,0.5213111042051805,0.3825597631114966
8,mixed_as_q,0.6787987595887057,0.3448023921046231,0.37707285986370914,0.37045433880817485
9,forum,0.7058201058201058,0.41421822973190636,0.4683023365641937,0.4249131241109851
9,synthetic,0.6709764569664223,0.32064153244297106,0.33556872801442883,0.3528935930137389
9,mixed_predicted,0.7338665697145973,0.3630872566690179,0.5009748857130034,0.3798532237167114
9,mixed_as_q,0.676350579402644,0.34143364841510704,0.3694586904819936,0.3679597735109319
