,,accuracy,f1,precision,recall
0,forum,0.7407407407407407,0.48743667708873667,0.4598765432098766,0.523663551738418
0,synthetic,0.6873793901968352,0.4409380272899031,0.40666667988509225,0.5164493392770586
0,mixed_predicted,0.8147609525540811,0.5225052597682859,0.8179189711228151,0.5794846440491338
0,mixed_as_q,0.6956095968663294,0.44892573313625944,0.4148639379677175,0.5170066607626137
1,forum,0.7597883597883598,0.626387273596268,0.7047211763911349,0.6037186224352
1,synthetic,0.7526051717483597,0.6719080202184721,0.7030514185053985,0.6775409416093049
1,mixed_predicted,0.8971096164333757,0.8492634790950945,0.8565471554028256,0.8448390052045284
1,mixed_as_q,0.7537130732821936,0.669306957782659,0.7060118603947082,0.6677459853005591
2,forum,0.7841269841269841,0.6582224310466448,0.7178227373216318,0.6345484580778699
2,synthetic,0.8052875337707449,0.720461915544298,0.7489557628606623,0.7069837615894216
2,mixed_predicted,0.9052899472823123,0.859949230049954,0.8573002188634614,0.8639542273000432
2,mixed_as_q,0.802023828953811,0.7138282338597343,0.7465023651277004,0.6978344180401264
3,forum,0.7671957671957672,0.6431811600005931,0.7129291802681523,0.6202172752974892
3,synthetic,0.7526051717483597,0.6773249486656271,0.7040064452514806,0.6888060925047886
3,mixed_predicted,0.8938374840938011,0.8487546824018063,0.8502594666742439,0.8501051059610137
3,mixed_as_q,0.7548555573690223,0.6759303476614823,0.7075075224728664,0.6792615774411517
4,forum,0.7756613756613756,0.633806804133907,0.7285830999066293,0.605439223086282
4,synthetic,0.7794287919722115,0.6940003869265672,0.7245519608701149,0.690574228060313
4,mixed_predicted,0.8974731866933285,0.8490935635111482,0.8590274371387393,0.8418767492853889
4,mixed_as_q,0.778847723192427,0.6890699656185525,0.727129751466321,0.6788817257895113
5,forum,0.7682539682539683,0.6019551304592446,0.7827167834552368,0.5775126042505722
5,synthetic,0.773639521420301,0.6666313833615479,0.7491661669154933,0.6576689634058488
5,mixed_predicted,0.8903835666242501,0.8197155497816663,0.8862649238628375,0.7882133409019635
5,mixed_as_q,0.7728088787334748,0.6608932599830455,0.7535057481709427,0.6459656931709777
6,forum,0.7756613756613756,0.6501676968570007,0.7403988948463235,0.6143689445828483
6,synthetic,0.8083751447317638,0.7183509658692321,0.7626599379523288,0.6917864174991766
6,mixed_predicted,0.8976549718233049,0.8493305880879358,0.8643734047100816,0.8356645352003763
6,mixed_as_q,0.8033295250530439,0.7103332986228912,0.7600098981010494,0.6814419886338108
7,forum,0.7375661375661375,0.592467937012901,0.7142985297087975,0.5829435468472901
7,synthetic,0.7755692782709379,0.6885493958555712,0.6891508829926695,0.6936178909927357
7,mixed_predicted,0.8852935829849118,0.8386532171263218,0.8513008590125661,0.8372440100666672
7,mixed_as_q,0.7697078504977967,0.6790798854939767,0.6859217295014871,0.6813623499294857
8,forum,0.7767195767195767,0.6722199074492731,0.7334346296729275,0.6498711725984453
8,synthetic,0.7749903512157468,0.6941829443586882,0.71868550963144,0.6933942441595266
8,mixed_predicted,0.9031085257225959,0.8608887997603899,0.8592670958005667,0.8650751148486483
8,mixed_as_q,0.7752570589195364,0.6937419455200599,0.7227497933420889,0.6885854559893468
9,forum,0.7619047619047619,0.6277293409441932,0.7388763078241035,0.5868949331516177
9,synthetic,0.7838672327286762,0.6869699392283163,0.7320937695965171,0.6619691364842822
9,mixed_predicted,0.889838211234321,0.8367496122663164,0.8763833355406083,0.8065752832593521
9,mixed_as_q,0.7804798433164681,0.6812526844493721,0.7345260324189952,0.6518324486335055
