,,accuracy,f1,precision,recall
0,forum,0.7735449735449735,0.6647499094563779,0.7345593002687525,0.6332477188092162
0,synthetic,0.8695484368969509,0.8102661923698794,0.8461068666199903,0.7842137621567901
0,mixed_predicted,0.8803853844755499,0.8275236421889366,0.8257403535831228,0.8295878755702141
0,mixed_as_q,0.8547413089603395,0.7898544117187921,0.8291025513931983,0.7625938575678598
1,forum,0.7502645502645503,0.6239229672528913,0.7243234488132447,0.5892311293380812
1,synthetic,0.8693554612118873,0.8068434572267092,0.8525999084776043,0.7756036193095209
1,mixed_predicted,0.878931103435739,0.8223167872063453,0.8307106054149499,0.814466012305029
1,mixed_as_q,0.8509874326750448,0.7811498084729639,0.8324688576293197,0.7481001436373425
2,forum,0.7523809523809524,0.632827954894356,0.7126978213043786,0.6015536256177968
2,synthetic,0.8710922423774604,0.8121137873865482,0.8519281222473586,0.7838323466284103
2,mixed_predicted,0.8751136157062352,0.8182381636329731,0.8187258302861755,0.8178627633770471
2,mixed_as_q,0.8527827648114902,0.7868890804295758,0.8308072804211047,0.7573323921653469
3,forum,0.7481481481481481,0.6299731640202584,0.7350398327365554,0.5962566350266886
3,synthetic,0.8695484368969509,0.8099166481702774,0.8485968720467176,0.7823712861274644
3,mixed_predicted,0.8751136157062352,0.8180138435095156,0.819276956634068,0.816799238775468
3,mixed_as_q,0.8508242206626407,0.7843794333298333,0.8280327060594908,0.7554119695686624
4,forum,0.7544973544973544,0.6488022723462291,0.7047487626722599,0.6186421025993218
4,synthetic,0.8716711694326514,0.8129084630040966,0.8522105599163711,0.7839834049976014
4,mixed_predicted,0.875477185966188,0.8183887484908694,0.8182844422463833,0.8193927304341102
4,mixed_as_q,0.8535988248735107,0.7881628047890921,0.8295189807144342,0.7586578709696751
5,forum,0.7513227513227513,0.6414892972463746,0.7135586248831246,0.6084858397692622
5,synthetic,0.8732149749131609,0.814642461786964,0.857821427221718,0.7833842240771679
5,mixed_predicted,0.8743864751863297,0.8178452112791121,0.8212979495740247,0.8151987187735935
5,mixed_as_q,0.8544148849355313,0.7888896156965401,0.8346717937044295,0.7571368401911531
6,forum,0.7597883597883598,0.6348440075256417,0.6792214603422323,0.6126483439317664
6,synthetic,0.8680046314164416,0.807431158989144,0.8470536264421836,0.7787848664136447
6,mixed_predicted,0.8783857480458098,0.8204479149083642,0.8191907926637004,0.8222375366604243
6,mixed_as_q,0.8513138566998532,0.7828787672896133,0.8228227572125771,0.7550116174431709
7,forum,0.7587301587301587,0.6372568808703967,0.6960573062824765,0.6085600377044228
7,synthetic,0.8710922423774604,0.8111242809887941,0.8519604847823237,0.7817795758795545
7,mixed_predicted,0.8820214506453372,0.8271071732936432,0.829069086630737,0.8257561663796289
7,mixed_as_q,0.8537620368859148,0.7863194270758109,0.8298088165374539,0.7561905282975868
8,forum,0.7428571428571429,0.6371807255085823,0.6935030630023041,0.6086997276836849
8,synthetic,0.8712852180625241,0.8109393452496465,0.8505823005130221,0.7822288121778472
8,mixed_predicted,0.8736593346664243,0.8166147232372928,0.816055298520419,0.8176784603114289
8,mixed_as_q,0.8514770687122573,0.7841360482485902,0.8250259012301563,0.7555925658000181
9,forum,0.7671957671957672,0.6582882213478584,0.7045308764610638,0.6307946361422297
9,synthetic,0.8676186800463142,0.807510982894839,0.8397315651922227,0.7831384093940109
9,mixed_predicted,0.8767496818760225,0.8183752673707662,0.8141247376823673,0.8240741598180753
9,mixed_as_q,0.8521299167618737,0.7852500130234105,0.819985769773333,0.7595667517536538
