"Name","State","Notes","User","Tags","Created","Runtime","Sweep","eval/accuracy","eval/f1","eval/loss","eval/precision","eval/recall","train/epoch","train/learning_rate","train/loss","train/total_flos"
"glowing-night-44","finished","-","sel","9, mixed_as_q","2022-03-15T23:57:08.000Z","2887","","0.8567931456548348","0.7923968938237346","0.554011881351471","0.8313808466174116","0.7633015356130253","3","0.000001638254140974489","0.28801962280273435","22173226043498496"
"brisk-plant-43","finished","-","sel","8, mixed_as_q","2022-03-15T23:04:39.000Z","2906","","0.8522448979591837","0.787232672624503","0.5530399084091187","0.819223333267033","0.7641403896184106","3","0.0000016557892192409962","0.33758544921875","22174231358426110"
"helpful-puddle-42","finished","-","sel","7, mixed_as_q","2022-03-15T22:12:15.000Z","2897","","0.8474092207262341","0.7862322597170642","0.5925155282020569","0.8098822512237329","0.7671556623465884","3","0.000001638254140974489","0.2929114990234375","22173226043498496"
"fearless-field-41","finished","-","sel","6, mixed_as_q","2022-03-15T21:19:57.000Z","2894","","0.8604651162790697","0.8040188811373848","0.5465854406356812","0.8437396754190485","0.775071393927636","3","0.000001638254140974489","0.30167913818359376","22173226043498496"
"youthful-totem-40","finished","-","sel","5, mixed_as_q","2022-03-15T20:27:57.000Z","2878","","0.8542857142857143","0.7670949476056093","0.5358505845069885","0.7963150451433935","0.7451496665834482","3","0.0000016557892192409962","0.33155194091796875","22174231358426110"
"decent-firefly-39","finished","-","sel","4, mixed_as_q","2022-03-15T19:35:34.000Z","2901","","0.8486332109343125","0.7795663403460421","0.5693822503089905","0.8160670460287288","0.7516536322891098","3","0.000001638254140974489","0.3207847900390625","22173226043498496"
"frosty-violet-38","finished","-","sel","3, mixed_as_q","2022-03-15T18:43:29.000Z","2881","","0.853937168502652","0.7908945745223632","0.5876988768577576","0.8256306500599114","0.7644926565786503","3","0.000001638254140974489","0.3234991455078125","22173226043498496"
"azure-glitter-37","finished","-","sel","2, mixed_as_q","2022-03-15T17:51:05.000Z","2900","","0.8502651978784169","0.7760941285373759","0.5845970511436462","0.8130548027702499","0.7487289255508086","3","0.000001638254140974489","0.34203619384765627","22173226043498496"
"brisk-bee-36","finished","-","sel","1, mixed_as_q","2022-03-15T16:58:29.000Z","2912","","0.8510204081632653","0.775925631654219","0.5596874952316284","0.7992602748295349","0.7584439655591634","3","0.0000016557892192409962","0.3376516418457031","22174231358426110"
"drawn-cosmos-35","finished","-","sel","0, mixed_as_q","2022-03-15T16:06:05.000Z","2902","","0.8572011423908609","0.7924830194051692","0.5585082769393921","0.8300884872159511","0.7658954694328712","3","0.000001638254140974489","0.31957666015625","22173226043498496"
"lemon-wave-34","finished","-","sel","9, mixed_predicted","2022-03-15T15:14:01.000Z","2625","","0.9620424762765476","0.9415185771865554","0.22111165523529053","0.9494736142508974","0.9339495980675814","3","0.0000031459170013386886","0.03265738296508789","20020846783472640"
"golden-brook-33","finished","-","sel","8, mixed_predicted","2022-03-15T14:26:24.000Z","2615","","0.9615906009941256","0.9448806983869774","0.22912843525409696","0.9444023357157572","0.9460848847321892","3","0.0000031459170013386886","0.04107970809936524","20020846783472640"
"glowing-resonance-32","finished","-","sel","7, mixed_predicted","2022-03-15T13:38:56.000Z","2607","","0.9602169981916816","0.9393373592133688","0.2265402674674988","0.9406331353476765","0.9380736078735624","3","0.0000031459170013386886","0.0502467041015625","20021852098400256"
"bumbling-salad-31","finished","-","sel","6, mixed_predicted","2022-03-15T12:51:19.000Z","2612","","0.948486217803886","0.9229499984802604","0.29963675141334534","0.933157155754348","0.9133080166127902","3","0.0000031459170013386886","0.04702365875244141","20020846783472640"
"fine-dawn-30","finished","-","sel","5, mixed_predicted","2022-03-15T12:03:30.000Z","2624","","0.955716222322639","0.9357053345901292","0.24889498949050903","0.9426090033034864","0.9291205533742998","3","0.0000031459170013386886","0.03969784164428711","20020846783472640"
"ethereal-waterfall-29","finished","-","sel","4, mixed_predicted","2022-03-15T11:16:01.000Z","2606","","0.9611387257117036","0.9397213728043022","0.24281662702560425","0.9488116038852644","0.9313904629676978","3","0.0000031459170013386886","0.04265351104736328","20020846783472640"
"smart-armadillo-28","finished","-","sel","3, mixed_predicted","2022-03-15T10:28:55.000Z","2585","","0.9624943515589696","0.9450088357418924","0.21488754451274872","0.955693990235976","0.9349362082847276","3","0.0000031459170013386886","0.047732532501220705","20020846783472640"
"kind-field-27","finished","-","sel","2, mixed_predicted","2022-03-15T09:41:43.000Z","2591","","0.961121157323689","0.9432763552563564","0.254117488861084","0.9592703637527372","0.9286530977306908","3","0.0000031459170013386886","0.03639245986938477","20021852098400256"
"classic-universe-26","finished","-","sel","1, mixed_predicted","2022-03-15T08:54:38.000Z","2584","","0.9615906009941256","0.940474337289983","0.2208108156919479","0.9436033072697124","0.9374041267707516","3","0.0000031459170013386886","0.0435407829284668","20020846783472640"
"robust-dream-25","finished","-","sel","0, mixed_predicted","2022-03-15T08:07:38.000Z","2578","","0.965657478535924","0.9462113234450188","0.1907135099172592","0.954225831035932","0.938566585961968","3","0.0000031459170013386886","0.052273921966552735","20020846783472640"
"decent-galaxy-24","finished","-","sel","9, synthetic only training","2022-03-15T01:22:54.000Z","2418","","0.8692715870718765","0.8126464555766278","0.45123374462127686","0.8404036268672455","0.7914238034453156","3","0.0000035448827901658094","0.3564164733886719","18754149974676480"
"sparkling-haze-23","finished","-","sel","8, synthetic only training","2022-03-15T00:38:34.000Z","2420","","0.8866377231066088","0.8314484640447054","0.4037224650382995","0.8529419862340216","0.8141113263132898","3","0.0000035448827901658094","0.34353353881835935","18754149974676480"
"mango-brownie-22","finished","-","sel","7, synthetic only training","2022-03-14T23:54:10.000Z","2423","","0.8711389961389961","0.8069469524584955","0.48290783166885376","0.8385476254054415","0.7832732795324157","3","0.0000035448827901658094","0.32996890258789063","18755155289604096"
"key-lime-pastry-21","finished","-","sel","6, synthetic only training","2022-03-14T23:09:48.000Z","2422","","0.8552821997105644","0.7913104950321436","0.4838511645793915","0.8254330193472207","0.7665085238001992","3","0.0000035448827901658094","0.3289501953125","18754149974676480"
"pear-square-20","finished","-","sel","5, synthetic only training","2022-03-14T22:25:26.000Z","2422","","0.8649300530631935","0.795549295808612","0.5011700391769409","0.8460177363089985","0.763081780754448","3","0.0000035448827901658094","0.3227633361816406","18754149974676480"
"cookie-cake-19","finished","-","sel","4, synthetic only training","2022-03-14T21:41:00.000Z","2425","","0.8683068017366136","0.8080014139153708","0.477592796087265","0.8322730285976631","0.7893559636663996","3","0.0000035448827901658094","0.31722021484375","18754149974676480"
"ricotta-mousse-18","finished","-","sel","3, synthetic only training","2022-03-14T20:56:31.000Z","2429","","0.8731307284129282","0.8036730207259358","0.4492301046848297","0.8390852626696498","0.777898505278154","3","0.0000035448827901658094","0.30673324584960937","18754149974676480"
"coconut-cream-meringue-17","finished","-","sel","2, synthetic only training","2022-03-14T20:11:57.000Z","2432","","0.8711389961389961","0.8144873979809147","0.5084270238876343","0.8440210099925961","0.7908866386916351","3","0.0000035448827901658094","0.34920928955078123","18755155289604096"
"derby-square-16","finished","-","sel","1, synthetic only training","2022-03-14T19:27:25.000Z","2430","","0.8630004823926676","0.7978710941562438","0.5093927383422852","0.8355064404669005","0.7695630276231844","3","0.0000035448827901658094","0.3064315185546875","18754149974676480"
"peach-cobbler-15","finished","-","sel","0, synthetic only training","2022-03-14T18:42:59.000Z","2425","","0.8601061263868789","0.8036752397722248","0.5018922090530396","0.8527092192603664","0.7705038243467955","3","0.0000035448827901658094","0.31529595947265626","18754149974676480"
"ricotta-brulee-14","finished","-","sel","9, forum only training","2022-03-14T18:11:27.000Z","448","","0.798941798941799","0.671957671957672","1.008892297744751","0.695420984894669","0.6553428302013874","3","0.000010876369327073551","0.26780014038085936","3419076068822016"
"pecan-cake-13","finished","-","sel","8, forum only training","2022-03-14T17:59:57.000Z","449","","0.8544973544973545","0.7932938827651829","0.7499365210533142","0.809727955442495","0.7791567144659727","3","0.000010876369327073551","0.264213134765625","3419076068822016"
"chocolate-brownie-12","finished","-","sel","7, forum only training","2022-03-14T17:48:28.000Z","448","","0.8518518518518519","0.8062106731926195","0.7069823145866394","0.8625371653078141","0.770482016820929","3","0.000010876369327073551","0.2775191650390625","3419076068822016"
"berry-pastry-11","finished","-","sel","6, forum only training","2022-03-14T17:37:00.000Z","447","","0.8306878306878307","0.7832621459490734","0.8670434951782227","0.8078272604588395","0.7635998729508823","3","0.000010876369327073551","0.269974853515625","3419076068822016"
"strawberry-cobbler-10","finished","-","sel","5, forum only training","2022-03-14T17:25:30.000Z","448","","0.8037135278514589","0.730354108184844","0.9868048429489136","0.7554705294774352","0.7122520952618041","3","0.000010876369327073551","0.26976657104492185","3420081383749632"
"elderberry-pastry-9","finished","-","sel","4, forum only training","2022-03-14T17:14:01.000Z","448","","0.8068783068783069","0.7448882878128161","0.8903905749320984","0.7885046838282986","0.7152946468735943","3","0.000010876369327073551","0.26679644775390626","3419076068822016"
"spiced-cake-8","finished","-","sel","3, forum only training","2022-03-14T17:02:33.000Z","447","","0.8227513227513228","0.7413893962088766","0.8490431308746338","0.8030769230769231","0.703313771806796","3","0.000010876369327073551","0.2571330871582031","3419076068822016"
"strawberry-crumble-7","finished","-","sel","2, forum only training","2022-03-14T16:51:05.000Z","447","","0.8068783068783069","0.7222271925246652","1.0609291791915894","0.7757223383368167","0.6874322009415574","3","0.000010876369327073551","0.26000161743164063","3419076068822016"
"caramel-crumble-6","finished","-","sel","1, forum only training","2022-03-14T16:39:37.000Z","448","","0.8465608465608465","0.7691855072240337","0.831803023815155","0.7820557546393978","0.7680647022402342","3","0.000010876369327073551","0.2611243896484375","3419076068822016"
"hazelnut-mousse-5","finished","-","sel","0, forum only training","2022-03-14T16:28:06.000Z","449","","0.8121693121693122","0.7411572431027683","0.918854594230652","0.7425495262704565","0.7398286533816424","3","0.000010876369327073551","0.23900291442871097","3419076068822016"
