,,accuracy,f1,precision,recall
0,forum,0.7767195767195767,0.6680794989062343,0.7109011249689862,0.6452821292393485
0,synthetic,0.806445387881127,0.7218279623840355,0.7554372976075688,0.7055586965364201
0,mixed_predicted,0.9065624431921468,0.8638177819178928,0.8631377402588335,0.8656510635975176
0,mixed_as_q,0.8018606169414069,0.7150116725750748,0.7506244646581645,0.6968843191954842
1,forum,0.7851851851851852,0.683826525776667,0.7184602351682615,0.6623254444110059
1,synthetic,0.8099189502122732,0.7255379337478179,0.7587569458190132,0.7092266425343383
1,mixed_predicted,0.9098345755317215,0.8656395034623685,0.8649108793023843,0.8672374946679083
1,mixed_as_q,0.8061041292639138,0.7204320359299355,0.7547819919176186,0.7022981978968694
2,forum,0.7714285714285715,0.6563337752407027,0.6884374544925004,0.6358968324208966
2,synthetic,0.8101119258973369,0.725748076073467,0.763882087176616,0.7075505196197573
2,mixed_predicted,0.9072895837120524,0.8625886416494577,0.8645755477913767,0.8616846290181613
2,mixed_as_q,0.8041455851150645,0.7164889521319759,0.7550461958292926,0.6963894018495744
3,forum,0.7883597883597884,0.6932636041980113,0.7522070660109273,0.6622939350212077
3,synthetic,0.806445387881127,0.7217717271296186,0.754293385913432,0.7058415797199684
3,mixed_predicted,0.9076531539720051,0.866132492994029,0.867001009175421,0.8663632961835795
3,mixed_as_q,0.8036559490778521,0.7184208851392637,0.7547959866220735,0.6993720788364386
4,forum,0.7756613756613756,0.6702830971123022,0.7111416906170577,0.6470230601246644
4,synthetic,0.8072172906213817,0.7225713250990139,0.7572947719725582,0.7061440498588571
4,mixed_predicted,0.9069260134520997,0.864025729217707,0.864298781388424,0.8649960358292205
4,mixed_as_q,0.8023502529786192,0.7159087777745103,0.7524433301670252,0.6973400768786141
5,forum,0.7777777777777778,0.6645612904667817,0.6963317680204636,0.6449940433897653
5,synthetic,0.8099189502122732,0.726485126239829,0.7592451480174387,0.7098724680379763
5,mixed_predicted,0.908562079621887,0.864932288250892,0.8633949440108434,0.8671383777339879
5,mixed_as_q,0.804961645177085,0.7186483016068482,0.7523278408637794,0.7004365836859675
6,forum,0.7756613756613756,0.6643999213975386,0.7014443639306204,0.6430719706120775
6,synthetic,0.8095329988421459,0.7248623312389061,0.7593821322933169,0.7083281699377525
6,mixed_predicted,0.907107798582076,0.8632036906615735,0.8640919234582208,0.8635784569935773
6,mixed_as_q,0.8043087971274686,0.7169075245359497,0.7528090979766029,0.698522774684106
7,forum,0.7735449735449735,0.6672484416933191,0.7033706692689554,0.645933735505928
7,synthetic,0.8093400231570822,0.7250581959619261,0.7588144316955298,0.7082418759595493
7,mixed_predicted,0.9078349391019814,0.8653539292350366,0.8646850872015767,0.8669987490030723
7,mixed_as_q,0.8038191610902562,0.7175328976059735,0.7525626592190059,0.6990205186737626
8,forum,0.7714285714285715,0.6727803162416667,0.7005055686720478,0.6550321831070495
8,synthetic,0.807024314936318,0.7219444643469185,0.7529043086564201,0.7069715232227933
8,mixed_predicted,0.9063806580621705,0.8640867925146285,0.8604325935131637,0.868809531970388
8,mixed_as_q,0.8015341929165987,0.7151870867970506,0.7465441999506598,0.6988681053748906
9,forum,0.7682539682539683,0.6484578364760066,0.6924536212137092,0.6249078214318856
9,synthetic,0.8079891933616364,0.7227425057956363,0.7563555096684009,0.7055978704471011
9,mixed_predicted,0.9047445918923832,0.8589774556776403,0.8601256389076218,0.8586240353893121
9,mixed_as_q,0.8018606169414069,0.7129632578225769,0.7491057892928445,0.6935572718251645
