Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64da156e13a3718a9f45dc6f,607c8faf6d8e98b09d585eb3,APPROVED,2023-08-14T12:01:29.080000Z,2023-08-14T12:25:31.099000Z,2023-08-14T12:45:23.732000,2023-08-14T12:25:31.786168Z,1443,C16Y0TGC,864,29,Male,Black,Togo,Germany,Togo,German,Yes,Part-Time
64da1e3a65f69daf234e62f5,6384d7973c9a9ef0853aa070,APPROVED,2023-08-14T12:30:05.737000Z,2023-08-14T12:51:59.159000Z,2023-08-14T12:55:32.119000,2023-08-14T12:52:00.772016Z,1314,C16Y0TGC,271,29,Male,White,Germany,Germany,Germany,German,No,Full-Time
64da26e9ed2f9b7eb0990620,5aad4225811b2000016f6ed1,APPROVED,2023-08-14T13:06:55.728000Z,2023-08-14T13:21:07.910000Z,2023-08-14T13:23:17.853000,2023-08-14T13:21:12.663265Z,853,C16Y0TGC,677,34,Male,White,Germany,Germany,Germany,German,No,Full-Time
64da2757c44ff417ef2fab96,5a71c8ccb7fcdc0001e40726,APPROVED,2023-08-14T13:11:42.860000Z,2023-08-14T13:51:23.332000Z,2023-08-14T13:53:17.988000,2023-08-14T13:51:23.930135Z,2381,C16Y0TGC,165,28,Male,White,Germany,Germany,Germany,German,No,Full-Time
64da2de18f089e007ce53829,63fc37d285b211e89eb39f79,APPROVED,2023-08-14T13:36:36.705000Z,2023-08-14T14:09:06.464000Z,2023-08-14T14:21:46.867000,2023-08-14T14:09:07.029610Z,1950,C16Y0TGC,118,19,Female,White,Germany,Germany,Germany,German,Yes,Other
64da2e7a58e166cb776329ff,6060dc354e4fcd8373c1380b,APPROVED,2023-08-14T13:39:10.700000Z,2023-08-14T14:34:36.499000Z,2023-09-04T00:00:13.610000,2023-08-14T14:34:37.373278Z,3326,C16Y0TGC,623,28,Male,White,Germany,Germany,Germany,German,No,Part-Time
64da2f603040fe32e533c952,5d14bd7a49a18f0001e1e8b4,APPROVED,2023-08-14T13:43:00.316000Z,2023-08-14T13:59:28.024000Z,2023-08-14T14:06:49.688000,2023-08-14T13:59:28.673837Z,988,C16Y0TGC,216,29,Male,White,Kazakhstan,Germany,Germany,German,No,Full-Time
64da30589b33cae6cd2b2d08,60be29be5264e6ed7ff6126b,APPROVED,2023-08-14T13:47:08.721000Z,2023-08-14T14:17:21.617000Z,2023-08-14T14:21:47.009000,2023-08-14T14:17:22.149262Z,1813,C16Y0TGC,670,32,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64da3b026b4640f05b0d3eb7,5ea68dcc37c517000832b4b1,APPROVED,2023-08-14T14:32:36.189000Z,2023-08-14T14:45:57.552000Z,2023-09-04T00:00:13.816000,2023-08-14T14:45:59.005246Z,802,C16Y0TGC,194,25,Female,White,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
