,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0,1.242234706878662,0.7594594594594595,0.6383731994118036,0.6345185185185185,0.6425925925925927,6.8097,54.334,6.902,3.0
1,1.0009474754333496,0.7870619946091644,0.6658495977192462,0.6834307697052795,0.6518216190226419,6.7479,54.98,6.965,3.0
2,1.0686092376708984,0.7837837837837838,0.6766350626404488,0.6950513538748831,0.6620896398473858,6.7324,54.958,6.981,3.0
3,1.1005820035934448,0.77088948787062,0.6877701434615262,0.6943025590368586,0.6819554493185586,6.7099,55.291,7.005,3.0
4,1.2129820585250854,0.7594594594594595,0.6587511977696553,0.6934027777777777,0.6372632981254163,6.6967,55.251,7.018,3.0
5,1.1550625562667847,0.7675675675675676,0.6728604182421956,0.7003357138497223,0.6536739183798007,6.6821,55.372,7.034,3.0
6,1.295046091079712,0.738544474393531,0.6459496329324143,0.6589028477854821,0.6374960332429213,6.6962,55.405,7.019,3.0
7,0.8289626836776733,0.8108108108108109,0.7338214472017289,0.7470741032600765,0.7227329928196018,6.6973,55.246,7.018,3.0
8,1.0572872161865234,0.7681940700808625,0.6543934959691332,0.6986120480544272,0.6277173164347707,6.7297,55.129,6.984,3.0
9,1.2297099828720093,0.7621621621621621,0.6331686392779967,0.633745476899004,0.6327100860160085,6.6802,55.388,7.036,3.0
