,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0,1.0218782424926758,0.7756756756756756,0.7066216442045867,0.7152626019813519,0.6986772486772487,6.7501,54.814,6.963,3.0
1,0.9151887893676758,0.8005390835579514,0.7084103563909364,0.7261675590685025,0.6972173048343387,6.7783,54.733,6.934,3.0
2,0.863580048084259,0.8162162162162162,0.7126168533860273,0.7275196687370601,0.7010537643425153,6.7367,54.923,6.977,3.0
3,0.8815205693244934,0.8221024258760108,0.7438036493052674,0.7938813162604984,0.7101894067942495,6.7957,54.594,6.916,3.0
4,1.1562551259994507,0.7783783783783784,0.6938312262359961,0.7202874925903971,0.6745646588638311,6.7548,54.776,6.958,3.0
5,1.3076685667037964,0.7594594594594595,0.6698240301163899,0.6957912457912458,0.6511698864640042,6.7491,54.822,6.964,3.0
6,1.0019928216934204,0.784366576819407,0.7194150578765962,0.7398658501020705,0.7027342182943843,6.7639,54.85,6.949,3.0
7,0.8471047878265381,0.8081081081081081,0.7427440352834901,0.7758169934640523,0.7181804722777407,6.7609,54.726,6.952,3.0
8,0.8797364234924316,0.816711590296496,0.7341741366131611,0.752672444925966,0.720203272565857,6.7628,54.859,6.95,3.0
9,1.2072656154632568,0.7675675675675676,0.6595553423711021,0.673585756141537,0.6480384154145379,6.7304,54.975,6.983,3.0
