,eval_loss,eval_accuracy,eval_f1,eval_precision,eval_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
0,0.7454390525817871,0.7297297297297297,0.5651896054112483,0.6417471984029763,0.535978835978836,6.7653,54.691,6.947,3.0
1,0.7043228149414062,0.7169811320754716,0.5780543565983842,0.6002380952380952,0.5626557172829793,6.7652,54.839,6.947,3.0
2,0.8485102653503418,0.6810810810810811,0.502987585566771,0.5427207773755088,0.487428898858189,6.7383,54.91,6.975,3.0
3,0.8013966083526611,0.7008086253369272,0.5107259501772273,0.5928967576791809,0.4884196754853211,6.8287,54.329,6.883,3.0
4,0.7654485106468201,0.7,0.5997571217018232,0.6739020731042008,0.5666571510134171,6.779,54.581,6.933,3.0
5,0.9231224060058594,0.6513513513513514,0.49930810281705357,0.606461619944766,0.4773742420801245,6.7806,54.567,6.932,3.0
6,0.8050056099891663,0.6630727762803235,0.5379384280593958,0.6126691266912669,0.5089484052139653,6.743,55.02,6.97,3.0
7,0.8114185333251953,0.6972972972972973,0.5579068100358422,0.6252637571553922,0.5363757495003331,6.7728,54.63,6.939,3.0
8,0.7059352397918701,0.7088948787061995,0.5702107400406077,0.6480431848852901,0.5381602914389799,6.7526,54.941,6.96,3.0
9,0.8497692346572876,0.6783783783783783,0.5162444418816233,0.5733200452624914,0.4937175974150307,6.7076,55.161,7.007,3.0
